stellar_mass,color_g_i
9.7275,0.84
10.7475,1.1136
10.2375,0.5664
8.9625,0.6880000000000001
8.877500000000001,0.4752
9.6425,0.6880000000000001
9.3875,0.4752
10.3225,0.6272000000000001
8.877500000000001,0.8096
9.8125,0.5359999999999999
9.5575,0.7184
10.0675,0.6576000000000001
9.0475,0.84
9.1325,0.6880000000000001
10.3225,0.6576000000000001
9.0475,0.4144
9.1325,0.7792
9.6425,0.4448
8.7925,0.8096
9.4725,1.0223999999999998
10.3225,0.6880000000000001
9.3875,0.9312
9.5575,0.8096
8.9625,0.6880000000000001
10.4075,1.1744
11.4275,1.1136
9.1325,0.232
9.3875,0.6272000000000001
9.4725,0.7488
10.2375,0.8704
8.877500000000001,0.384
9.1325,0.8096
9.3875,0.6880000000000001
8.877500000000001,0.5664
9.8975,0.6576000000000001
9.7275,0.992
10.3225,0.5055999999999999
10.4925,1.0832000000000002
9.1325,0.7488
8.9625,0.5359999999999999
8.877500000000001,0.2928
9.1325,0.6880000000000001
9.0475,0.1712
8.9625,0.384
9.3025,0.7184
9.9825,0.5664
10.4075,1.144
9.6425,0.84
9.9825,0.7488
9.1325,0.8704
9.1325,0.3535999999999999
9.7275,0.6576000000000001
8.9625,0.5664
10.3225,0.7184
8.877500000000001,0.5055999999999999
9.9825,0.5359999999999999
8.877500000000001,0.4448
9.1325,0.7184
9.9825,0.84
9.1325,0.6576000000000001
10.1525,1.144
9.8125,0.84
9.8975,1.0528
9.3875,0.6576000000000001
10.3225,1.1136
9.0475,0.7488
9.8975,0.6880000000000001
9.3025,0.4752
9.3025,0.2624
9.4725,0.4752
9.2175,0.6880000000000001
9.1325,0.7488
9.8975,0.6880000000000001
8.877500000000001,0.384
8.877500000000001,0.5359999999999999
8.9625,0.7184
9.1325,0.7488
8.877500000000001,0.992
9.8125,0.7792
8.877500000000001,0.4448
10.4925,1.0528
9.5575,0.5968000000000001
9.6425,1.0223999999999998
9.2175,0.6576000000000001
9.2175,0.4752
9.4725,0.84
9.2175,0.7184
10.8325,0.9616
8.9625,0.6272000000000001
10.6625,1.144
8.7925,0.8096
8.877500000000001,0.2016
8.9625,0.4752
8.877500000000001,0.3535999999999999
9.9825,0.7184
10.6625,0.9616
9.3025,0.5664
9.0475,0.4144
9.4725,0.5664
9.8125,0.6272000000000001
11.1725,1.1136
10.0675,0.5664
9.8975,0.84
9.3025,0.6272000000000001
10.4925,1.0223999999999998
9.3875,0.384
9.3025,0.7488
9.8125,0.8704
9.3875,0.7184
10.6625,1.0528
9.9825,0.5664
9.4725,0.5968000000000001
9.9825,0.2928
9.1325,0.8704
8.7925,0.4752
9.2175,0.6880000000000001
8.9625,0.9616
9.3025,0.6880000000000001
9.2175,0.5968000000000001
8.877500000000001,0.8704
9.7275,0.4752
9.8125,0.84
9.0475,0.6576000000000001
8.7925,0.3232
9.6425,0.5359999999999999
8.7925,0.2624
8.877500000000001,1.0223999999999998
10.2375,1.144
8.877500000000001,0.992
9.5575,0.992
8.877500000000001,0.7488
10.2375,1.0223999999999998
8.7925,0.7488
8.7925,0.6880000000000001
9.8125,0.6272000000000001
9.3025,0.5359999999999999
9.4725,0.384
8.7925,0.7184
8.9625,0.6880000000000001
9.3875,0.5968000000000001
8.9625,0.7792
9.5575,0.3535999999999999
9.6425,0.7488
8.9625,0.5968000000000001
9.0475,0.1104
10.7475,1.0528
9.4725,0.6272000000000001
9.5575,0.8704
9.7275,0.4144
9.3875,0.7488
8.9625,0.8704
9.4725,0.6272000000000001
8.877500000000001,0.4752
9.3875,0.5359999999999999
9.3025,0.7488
9.1325,0.2016
9.8975,0.7488
10.3225,0.84
9.3025,0.6576000000000001
9.3025,0.9008
10.1525,0.8096
10.5775,1.1136
9.8975,0.7184
10.6625,1.0528
9.5575,0.5664
8.9625,0.7184
9.8125,0.6880000000000001
8.7925,0.992
9.4725,0.384
9.0475,0.6880000000000001
8.9625,0.6576000000000001
9.3025,0.7488
10.7475,1.0528
8.9625,0.7184
10.4075,1.1136
8.9625,0.4448
10.3225,0.5968000000000001
8.877500000000001,0.5968000000000001
8.877500000000001,0.2624
10.3225,0.8704
9.8125,0.4752
9.5575,0.9008
8.7925,0.5359999999999999
9.1325,0.5055999999999999
9.8125,0.5968000000000001
8.7925,0.6576000000000001
9.8975,0.9312
9.5575,0.7184
9.1325,0.6576000000000001
9.3025,0.5055999999999999
8.7925,0.5359999999999999
9.2175,0.4144
9.2175,0.4448
9.0475,0.7792
9.3875,0.5968000000000001
9.4725,0.6576000000000001
9.2175,0.7184
9.5575,0.6576000000000001
9.8125,0.7792
10.7475,1.1136
9.4725,0.4752
9.0475,0.6880000000000001
10.3225,1.0528
10.5775,0.7792
9.3025,0.5359999999999999
10.0675,0.6880000000000001
9.5575,0.5664
9.3875,0.4448
10.0675,0.5968000000000001
10.0675,0.6576000000000001
9.3875,0.8704
8.7925,0.4144
8.9625,0.6272000000000001
10.5775,1.144
8.877500000000001,0.7184
9.0475,0.5055999999999999
9.3025,0.8704
9.8975,0.5664
9.3875,0.8096
9.3025,0.6576000000000001
9.3025,0.7184
8.9625,0.7184
9.0475,0.7488
9.8125,0.6880000000000001
9.8975,0.7488
9.0475,0.7792
8.877500000000001,0.5359999999999999
9.3875,0.3535999999999999
8.877500000000001,0.6880000000000001
9.8125,0.4144
8.9625,-0.072
9.6425,0.5968000000000001
9.6425,0.7184
9.9825,0.5664
9.3875,0.5359999999999999
8.9625,0.4752
10.2375,1.144
9.4725,0.6272000000000001
10.1525,0.6576000000000001
9.8125,0.5055999999999999
9.1325,0.8096
8.7925,0.4144
9.0475,0.2928
9.5575,0.6576000000000001
8.9625,0.7488
10.0675,0.3535999999999999
9.6425,0.5664
8.9625,0.84
9.4725,0.3232
9.8125,0.8096
9.8975,0.6576000000000001
8.7925,0.0191999999999999
9.2175,0.8096
9.0475,0.4144
9.6425,0.7792
9.2175,0.5968000000000001
8.7925,0.6576000000000001
9.3875,0.2624
11.0875,1.0528
9.3025,0.6272000000000001
9.3875,0.5968000000000001
9.8975,0.7792
10.4075,1.144
9.7275,0.6880000000000001
9.3875,0.9616
9.8975,0.6576000000000001
8.7925,0.5968000000000001
8.877500000000001,0.7488
9.4725,0.4448
9.6425,0.1104
9.3025,0.7488
10.2375,1.144
9.9825,0.5664
9.5575,0.5968000000000001
9.2175,0.8096
9.2175,0.4144
9.0475,0.8096
10.4925,1.1136
10.1525,0.5968000000000001
11.0875,1.144
9.8125,0.5359999999999999
8.877500000000001,0.7184
8.9625,0.7792
9.8125,0.84
9.9825,0.84
10.1525,0.4448
9.1325,0.5359999999999999
10.6625,1.1136
10.6625,1.1136
9.3875,0.4752
9.2175,0.5664
9.6425,0.6880000000000001
8.877500000000001,0.6576000000000001
9.9825,0.5055999999999999
8.7925,0.5664
9.7275,0.5359999999999999
9.7275,0.3535999999999999
8.877500000000001,0.1408
9.3875,0.5359999999999999
8.9625,0.232
9.1325,0.7488
9.8125,0.9616
